from,to,year,share
0,4,1960,0.113324336682913
5,9,1960,0.104050723263777
10,14,1960,0.093778927762845
15,19,1960,0.074099684373711
20,24,1960,0.060242240389012
25,29,1960,0.060615861615159
30,34,1960,0.054604463379543
35,39,1960,0.069755640565228
40,44,1960,0.064497061218117
45,49,1960,0.060944871351617
50,54,1960,0.054069125503273
55,59,1960,0.047935045671013
60,64,1960,0.039659614333672
65,69,1960,0.03449583440215
70,74,1960,0.025997345616364
75,79,1960,0.016606627036793
80,84,1960,0.00846503016852
85,89,1960,0.003619107101034
90,94,1960,0.000663595909126
95,99,1960,0.000189598831179
100,105,1960,5.57643621114618e-5
0,4,1970,0.084414306241757
5,9,1970,0.098197941066473
10,14,1970,0.102302029407712
15,19,1970,0.093842883294294
20,24,1970,0.080566108300691
25,29,1970,0.066324823337205
30,34,1970,0.056241757376533
35,39,1970,0.054652284313919
40,44,1970,0.058958132393756
45,49,1970,0.059627384209594
50,54,1970,0.05464244237545
55,59,1970,0.049076826171683
60,64,1970,0.042399070921009
65,69,1970,0.03440741688483
70,74,1970,0.026789756510442
75,79,1970,0.018876837982009
80,84,1970,0.011244414699919
85,89,1970,0.005009546680314
90,94,1970,0.001540263370273
95,99,1970,0.000359230754089
100,105,1970,0.000521622738815
0,4,1980,0.072166359150018
5,9,1980,0.073715713365056
10,14,1980,0.080526692150822
15,19,1980,0.093442391390711
20,24,1980,0.093751379410804
25,29,1980,0.086172344689379
30,34,1980,0.077520680126773
35,39,1980,0.061647524123136
40,44,1980,0.051512717064084
45,49,1980,0.048948116497312
50,54,1980,0.051689281646995
55,59,1980,0.051269940762583
60,64,1980,0.044525173695409
65,69,1980,0.038769168292532
70,74,1980,0.030007150865608
75,79,1980,0.021161265261801
80,84,1980,0.012955426271044
85,89,1980,0.006709454150592
90,94,1980,0.002458661817026
95,99,1980,0.000578249009031
100,105,1980,0.000141251666328
0,4,1990,0.07379679144385
5,9,1990,0.072771500944876
10,14,1990,0.068811065095895
15,19,1990,0.071384343210969
20,24,1990,0.076474608982349
25,29,1990,0.085694181979012
30,34,1990,0.087905592859153
35,39,1990,0.080266173455028
40,44,1990,0.070829480117406
45,49,1990,0.055779823891279
50,54,1990,0.045639499819066
55,59,1990,0.042346507981183
60,64,1990,0.042684250733786
65,69,1990,0.040657794218166
70,74,1990,0.032145872703148
75,79,1990,0.024610992722448
80,84,1990,0.015817618913594
85,89,1990,0.012383900928793
90,94,1990,0.0
95,99,1990,0.0
100,105,1990,0.0
0,4,2000,0.068139662144395
5,9,2000,0.073022009650987
10,14,2000,0.072943835236762
15,19,2000,0.071849393437613
20,24,2000,0.067386345061864
25,29,2000,0.068868105549673
30,34,2000,0.072879874352396
35,39,2000,0.080686655627492
40,44,2000,0.079745009274328
45,49,2000,0.071394560482123
50,54,2000,0.062489784025414
55,59,2000,0.047860508417963
60,64,2000,0.038394297531821
65,69,2000,0.0338779484191
70,74,2000,0.031472308490452
75,79,2000,0.026351884358721
80,84,2000,0.017571476288279
85,89,2000,0.015066341650617
90,94,2000,0.0
95,99,2000,0.0
100,105,2000,0.0
0,4,2010,0.070441929939299
5,9,2010,0.068309019025303
10,14,2010,0.065377498940118
15,19,2010,0.069298242731178
20,24,2010,0.069521721840811
25,29,2010,0.070504372631697
30,34,2010,0.064519733534026
35,39,2010,0.065361066652645
40,44,2010,0.067566279631522
45,49,2010,0.074034027980899
50,54,2010,0.071841960832
55,59,2010,0.06300796308651
60,64,2010,0.053316199934928
65,69,2010,0.039503219085116
70,74,2010,0.029367784171764
75,79,2010,0.023600051268737
80,84,2010,0.019005583691283
85,89,2010,0.015423345022167
90,94,2010,0.0
95,99,2010,0.0
100,105,2010,0.0
0,4,2016,0.061669059939095
5,9,2016,0.063225718600678
10,14,2016,0.063807531380753
15,19,2016,0.065392042781808
20,24,2016,0.069263573568369
25,29,2016,0.070841895471764
30,34,2016,0.067422198014409
35,39,2016,0.064290312198262
40,44,2016,0.060954172959323
45,49,2016,0.064828798494714
50,54,2016,0.067586219702409
55,59,2016,0.068022579287465
60,64,2016,0.060294991458493
65,69,2016,0.052053675323711
70,74,2016,0.036548983684484
75,79,2016,0.025896858210988
80,84,2016,0.018153796637865
85,89,2016,0.012023099205269
90,94,2016,0.005827412047238
95,99,2016,0.001640216879998
100,105,2016,0.000253769404075
0,4,2020,0.061444989913991
5,9,2020,0.060726493285514
10,14,2020,0.062440062650501
15,19,2020,0.063245740878249
20,24,2020,0.065834132497993
25,29,2020,0.070683233174703
30,34,2020,0.069080895505338
35,39,2020,0.065903276525002
40,44,2020,0.061417933555596
45,49,2020,0.060440898391349
50,54,2020,0.061658434519103
55,59,2020,0.065452337218426
60,64,2020,0.063164571803066
65,69,2020,0.054202904650387
70,74,2020,0.044369421504995
75,79,2020,0.030221952326697
80,84,2020,0.019564753381293
85,89,2020,0.011853691238851
90,94,2020,0.00606363054242
95,99,2020,0.00195106406645
100,105,2020,0.000276576108033
0,4,2025,0.060621553942957
5,9,2025,0.060194518844739
10,14,2025,0.059520558689729
15,19,2025,0.061647019178814
20,24,2025,0.06364856463917
25,29,2025,0.066210775228478
30,34,2025,0.070147051133822
35,39,2025,0.067762045585271
40,44,2025,0.064093029741397
45,49,2025,0.059296873638281
50,54,2025,0.057678788266121
55,59,2025,0.058390513429818
60,64,2025,0.061310039101309
65,69,2025,0.058036103348304
70,74,2025,0.048403121132718
75,79,2025,0.03776791368662
80,84,2025,0.02363508543607
85,89,2025,0.013060883004003
90,94,2025,0.006115026406456
95,99,2025,0.002117745487081
100,105,2025,0.000348600080178
0,4,2030,0.059070517965311
5,9,2030,0.059597128704228
10,14,2030,0.05919161027426
15,19,2030,0.059025460361982
20,24,2030,0.0623653552088
25,29,2030,0.064384499058015
30,34,2030,0.066122032886418
35,39,2030,0.069070489804309
40,44,2030,0.066181170990789
45,49,2030,0.06212598669111
50,54,2030,0.056876775903194
55,59,2030,0.05493085065939
60,64,2030,0.055097000571668
65,69,2030,0.056727522592164
70,74,2030,0.052216130058772
75,79,2030,0.041588167873366
80,84,2030,0.029876007107837
85,89,2030,0.016037690685185
90,94,2030,0.00691352601091
95,99,2030,0.002207822563158
100,105,2030,0.000394254029135
0,4,2035,0.057536822140974
5,9,2035,0.058331643196606
10,14,2035,0.058846906501636
15,19,2035,0.058945573943025
20,24,2035,0.060102175617083
25,29,2035,0.063454127862041
30,34,2035,0.064662804019054
35,39,2035,0.065501477270859
40,44,2035,0.067765346898279
45,49,2035,0.064459987611755
50,54,2035,0.059907581496566
55,59,2035,0.054516502129572
60,64,2035,0.052200558019196
65,69,2035,0.051397514676782
70,74,2035,0.051468774495563
75,79,2035,0.04529383712198
80,84,2035,0.033292039181937
85,89,2035,0.020605050676694
90,94,2035,0.008696438653518
95,99,2035,0.002590020336456
100,105,2035,0.000427558912685
0,4,2040,0.056504465528689
5,9,2040,0.05705328650061
10,14,2040,0.057824313036774
15,19,2040,0.05882825383907
20,24,2040,0.060263219892485
25,29,2040,0.06151613801375
30,34,2040,0.064035360133645
35,39,2040,0.064361975541325
40,44,2040,0.06459756698293
45,49,2040,0.06628686470626
50,54,2040,0.062474566833009
55,59,2040,0.057725257544281
60,64,2040,0.052146023858988
65,69,2040,0.049024437257716
70,74,2040,0.047029941530488
75,79,2040,0.045048831680624
80,84,2040,0.036650532222484
85,89,2040,0.023310166841576
90,94,2040,0.011428862093337
95,99,2040,0.003365209569296
100,105,2040,0.000524726392667
0,4,2045,0.055898161986418
5,9,2045,0.056194446629435
10,14,2045,0.056724088203676
15,19,2045,0.057982642439498
20,24,2045,0.060318833739742
25,29,2045,0.061860562678623
30,34,2045,0.062337764493039
35,39,2045,0.063952909095676
40,44,2045,0.063698576260521
45,49,2045,0.063441621437374
50,54,2045,0.064474684705944
55,59,2045,0.060455177115289
60,64,2045,0.055465533967855
65,69,2045,0.049272398332416
70,74,2045,0.045142767246126
75,79,2045,0.041524423818139
80,84,2045,0.036799601457825
85,89,2045,0.025986522981725
90,94,2045,0.013196465560188
95,99,2045,0.004562259104853
100,105,2045,0.00070793675765
0,4,2050,0.055563840564432
5,9,2050,0.055674402579438
10,14,2050,0.055952093221777
15,19,2050,0.056975434662992
20,24,2050,0.059569785201146
25,29,2050,0.06200472074092
30,34,2050,0.062768370007354
35,39,2050,0.062398115817568
40,44,2050,0.063416314839479
45,49,2050,0.062691233717815
50,54,2050,0.061873589048704
55,59,2050,0.062549817186994
60,64,2050,0.058273895536894
65,69,2050,0.052606949465446
70,74,2050,0.045623544052535
75,79,2050,0.040090300882953
80,84,2050,0.034240798926263
85,89,2050,0.026360041345051
90,94,2050,0.014956726541569
95,99,2050,0.005414967525622
100,105,2050,0.000992486925399
0,4,2055,0.055260656097358
5,9,2055,0.055353959203847
10,14,2055,0.055442218899175
15,19,2055,0.056218904218057
20,24,2055,0.058581742347254
25,29,2055,0.061279967318696
30,34,2055,0.062921597651788
35,39,2055,0.06283333795646
40,44,2055,0.061928045652958
45,49,2055,0.062462647236085
50,54,2055,0.061209359562434
55,59,2055,0.060135112985019
60,64,2055,0.060389805248678
65,69,2055,0.055419523548948
70,74,2055,0.048868132450064
75,79,2055,0.040758327302254
80,84,2055,0.03324364467151
85,89,2055,0.024803496092617
90,94,2055,0.01538744745396
95,99,2055,0.006279046896159
100,105,2055,0.001225548912262
0,4,2060,0.054746429392583
5,9,2060,0.055035687531985
10,14,2060,0.055102439410309
15,19,2060,0.055693317148063
20,24,2060,0.057812071211893
25,29,2060,0.060291779877028
30,34,2060,0.062190499971569
35,39,2060,0.062969271885345
40,44,2060,0.062346254354324
45,49,2060,0.06101616137143
50,54,2060,0.06101863366322
55,59,2060,0.059550092340098
60,64,2060,0.05816066435425
65,69,2060,0.05752775765607
70,74,2060,0.051631341737477
75,79,2060,0.043821371973606
80,84,2060,0.034065708571188
85,89,2060,0.024248237874027
90,94,2060,0.014727442191637
95,99,2060,0.006591129911517
100,105,2060,0.001456179864172
