Name;LIETUVOS ENERGIJA;LITGRID;TELIA LIETUVA;AGROWILL GROUP;APRANGA;GRIGISKES;GUBERNIJA;INVALDA;KAUNO ENERGIJA;KLAIPEDOS NAFTA;LINAS;LINAS AGRO GROUP;PANEVEZIO STATYBOS TTAS.;PIENO ZVAIGZDES;ROKISKIO SURIS;SIAULIU BANKAS;SNAIGE;UTENOS TRIKOTAZAS;VILKYSKIU PIENINE;VILNIAUS BALDU KOMBINATA;VILNIAUS DEGTINE
30-5-2013;0.37;0.56;1.05;0.15;2.38;0.57;0.1;2.24;0.48;0.35;0.09;0.73;1.11;1.96;1.48;0.15;0.47;0.75;1.43;14.3;0.25
31-5-2013;0.37;0.56;1.06;0.16;2.42;0.57;0.1;2.24;0.48;0.35;0.09;0.73;1.13;1.95;1.48;0.15;0.43;0.75;1.42;14.4;0.25
3-6-2013;0.37;0.56;1.07;0.16;2.48;0.57;0.1;2.24;0.48;0.35;0.09;0.73;1.11;1.94;1.49;0.14;0.43;0.75;1.4;14.4;0.25
4-6-2013;0.38;0.58;1.06;0.16;2.52;0.58;0.1;2.24;0.48;0.35;0.09;0.73;1.14;1.94;1.48;0.14;0.43;0.75;1.41;14.4;0.25
5-6-2013;0.37;0.57;1.06;0.16;2.48;0.58;0.1;2.24;0.48;0.34;0.09;0.73;1.14;1.99;1.47;0.15;0.43;0.75;1.42;14.4;0.25
6-6-2013;0.37;0.57;1.06;0.17;2.51;0.58;0.1;2.24;0.47;0.34;0.09;0.73;1.13;1.99;1.47;0.15;0.43;0.75;1.41;14.7;0.25
7-6-2013;0.37;0.57;1.06;0.17;2.52;0.58;0.1;2.24;0.47;0.34;0.09;0.73;1.15;1.99;1.47;0.14;0.43;0.75;1.42;14.8;0.25
10-6-2013;0.37;0.57;1.06;0.17;2.48;0.58;0.1;2.42;0.47;0.34;0.09;0.73;1.16;1.96;1.46;0.14;0.42;0.75;1.42;14.8;0.25
11-6-2013;0.37;0.57;1.06;0.17;2.47;0.58;0.1;2.6;0.47;0.34;0.09;0.73;1.17;2;1.46;0.14;0.42;0.75;1.42;14.9;0.25
12-6-2013;0.37;0.57;1.05;0.17;2.45;0.58;0.1;2.6;0.47;0.34;0.09;0.73;1.16;2;1.46;0.14;0.42;0.71;1.42;14.8;0.25
13-6-2013;0.38;0.57;1.05;0.17;2.44;0.58;0.1;2.6;0.47;0.34;0.09;0.72;1.16;2;1.46;0.15;0.42;0.75;1.42;14.7;0.25
14-6-2013;0.38;0.57;1.05;0.18;2.41;0.58;0.1;2.6;0.47;0.34;0.09;0.71;1.16;2.05;1.44;0.15;0.42;0.7;1.42;14.8;0.25
17-6-2013;0.38;0.57;1.05;0.19;2.44;0.58;0.1;2.8;0.5;0.34;0.09;0.71;1.16;2.09;1.46;0.15;0.42;0.71;1.41;15.8;0.26
18-6-2013;0.38;0.57;1.05;0.19;2.43;0.58;0.09;2.8;0.5;0.34;0.09;0.71;1.17;2.09;1.46;0.15;0.42;0.73;1.42;15.8;0.26
19-6-2013;0.38;0.56;1.06;0.19;2.44;0.58;0.09;2.8;0.5;0.35;0.09;0.72;1.16;2.06;1.46;0.15;0.42;0.73;1.41;15.8;0.26
20-6-2013;0.38;0.57;1.06;0.18;2.41;0.58;0.09;2.8;0.58;0.35;0.09;0.71;1.14;2.05;1.45;0.15;0.42;0.73;1.42;15.8;0.25
21-6-2013;0.38;0.57;1.06;0.18;2.43;0.58;0.09;2.8;0.58;0.35;0.09;0.71;1.14;2.09;1.45;0.15;0.42;0.73;1.41;15.8;0.25
